"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","24","Hombre","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","4,000,000","36","Hombre","Padre cabeza de hogar","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","4,000,000","15","Hombre","Padre cabeza de hogar","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Indigena"
"2,024","9","2","Persona Juridica","Pequeña","Servicios","Cali","Pago de deudas","30,000,000","35","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,200,000","36","Hombre","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,200,000","36","Hombre","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","36","Hombre","Padre cabeza de hogar","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","500,000","24","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Inversión","5,200,000","24","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Inversión","500,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","4,200,000","24","Mujer","Madre cabeza de hogar","Otros"
